DÍA;Ubic;Horario;Latitude;Longitude
LUNES;POLVORA ENTRE PINO Y VASCO DE QUIROGA;8:00 A 17:00 HORAS;19,382543437;-99,235152859
SÁBADO;PUERTO TACALA ENTRE STA LUCIA Y PTO PEÃ‘ASCO;8:00 A 17:00 HORAS;19,366253635;-99,234183202
MARTES;HILARIO SALGUERA Y LOPEZ VELARDE;8:00 A 17:00 HORAS;19,379742191;-99,233739898
VIERNES;CALLE FRANCISCO SARABIA, ALFONSO PRIANNI, COAHUILA, MORELIA, EMILIANO ZAPATA Y TOLUCA;07:00 A 17:00 HORAS;19,305983091;-99,233402968
DOMINGO;CALLE FRANCISCO SARABIA,;07:00 A 17:00 HORAS;19,306499311;-99,232972789
DOMINGO;HOMUN / TETIZ Y MANI;08:00 A 19:00 HORAS;19,283971660;-99,232838696
DOMINGO;ANDADOR 1 Y 2 AV GUSTAVO DIAZ ORDAZ;8:00 A 17:00 HORAS;19,375718288;-99,232310337
MIÉRCOLES;ANDADOR 2 Y AV GUSTAVO DIAZ ORDAZ;8:00 A 17:00 HORAS;19,376164765;-99,232245336
JUEVES;CALLE DEL POZO, FLORES Y AV DESIERTO DE LOS LEONES;8:00 A 17:00 HORAS;19,340450045;-99,232119288
VIERNES;CALLE FRANCISCO SARABIA, ALFONSO PRIANNI, COAHUILA, MORELIA, EMILIANO ZAPATA Y TOLUCA;07:00 A 17:00 HORAS;19,307307849;-99,231933250
MIÉRCOLES;CANSHACAB, HALACHO / BOKOBA, TETIZ, PANABA, HALACHO Y TENOSIQUE;08:00 A 19:00 HORAS;19,287030277;-99,231758682
VIERNES;TIZMEHUAC / TETIZ Y SUDZAL;08:00 A 19:00 HORAS;19,278481842;-99,231691744
DOMINGO;PANABA, TOSKOKOB Y HOMUN / TETIZ Y CHICOASEN;08:00 A 19:00 HORAS;19,284191586;-99,231664083
JUEVES;DURAZNO / PIEDRA TRONADA Y TIJERA;08:00 A 19:00 HORAS;19,272785072;-99,230748905
SÁBADO;DURAZNO / PIEDRA TRONADA Y TIJERA;08:00 A 19:00 HORAS;19,272785072;-99,230748905
MIÉRCOLES;CALLE PRESILLA Y PAPANTLA;07:00 A 17:00 HORAS;19,316932191;-99,230541010
LUNES;BOKOBA / POMUCH Y CANSAACAB;08:00 A 19:00 HORAS;19,296997578;-99,230315958
VIERNES;AV GUSTAVO DIAZ ORDAZ ENTRE NICOLAS BRAVO Y HNOS GALEANA;8:00 A 17:00 HORAS;19,377471697;-99,229884318
SÁBADO;CHICOASEN / TIZIMIN Y ACANCEH-;08:00 A 19:00 HORAS;19,289349112;-99,229729629
VIERNES;AV. GUSTAVO DIAZ ORDAZ ENTRE PUERTO VILLA Y PTO CARRANZA;8:00 A 17:00 HORAS;19,370573053;-99,228748809
